2025-11-21 13:25:24 +07:00: INFO:     192.168.1.13:41079 - "GET /api/printers/jobs/recent?limit=20 HTTP/1.1" 500 Internal Server Error
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:41079 - "GET / HTTP/1.1" 302 Found
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:41079 - "GET /dashboard HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:41079 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:41079 - "GET /api/dashboard/recent-events?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:26403 - "GET /api/dashboard/alerts-list?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:26825 - "GET /api/cctv/stats HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:26604 - "GET /api/webserver/stats/24 HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:65291 - "GET /api/file-server/dashboard-summary HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:61018 - "GET /api/printers/status HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:61018 - "GET /api/printers/analytics/summary HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:26825 - "GET /api/cctv/alerts?status=active&limit=100 HTTP/1.1" 200 OK
2025-11-21 13:25:29 +07:00: INFO:     192.168.1.13:61018 - "GET /api/printers/alerts/active HTTP/1.1" 500 Internal Server Error
2025-11-21 13:26:23 +07:00: INFO:     127.0.0.1:62422 - "GET / HTTP/1.1" 302 Found
2025-11-21 13:26:23 +07:00: INFO:     127.0.0.1:62422 - "GET /dashboard HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62422 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62422 - "GET /favicon.ico HTTP/1.1" 404 Not Found
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62422 - "GET /api/dashboard/recent-events?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62427 - "GET /api/dashboard/alerts-list?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62428 - "GET /api/file-server/dashboard-summary HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62429 - "GET /api/webserver/stats/24 HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62431 - "GET /api/printers/status HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62430 - "GET /api/cctv/stats HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62437 - "GET /api/printers/analytics/summary HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62438 - "GET /api/cctv/alerts?status=active&limit=100 HTTP/1.1" 200 OK
2025-11-21 13:26:24 +07:00: INFO:     127.0.0.1:62438 - "GET /api/printers/alerts/active HTTP/1.1" 500 Internal Server Error
2025-11-21 13:26:26 +07:00: INFO:     127.0.0.1:62442 - "GET /alerts HTTP/1.1" 200 OK
2025-11-21 13:26:26 +07:00: INFO:     127.0.0.1:62442 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706386207 HTTP/1.1" 200 OK
2025-11-21 13:26:30 +07:00: INFO:     127.0.0.1:62442 - "GET /devices HTTP/1.1" 200 OK
2025-11-21 13:26:31 +07:00: INFO:     127.0.0.1:62442 - "GET /devices/list?skip=0&limit=500 HTTP/1.1" 200 OK
2025-11-21 13:26:31 +07:00: INFO:     127.0.0.1:62442 - "GET /api/devices/scan/status HTTP/1.1" 200 OK
2025-11-21 13:26:33 +07:00: INFO:     127.0.0.1:62442 - "POST /api/devices/scan/trigger HTTP/1.1" 200 OK
2025-11-21 13:26:35 +07:00: INFO:     127.0.0.1:62442 - "GET /dashboard HTTP/1.1" 200 OK
2025-11-21 13:26:35 +07:00: INFO:     127.0.0.1:62442 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
2025-11-21 13:26:35 +07:00: INFO:     127.0.0.1:62442 - "GET /api/dashboard/recent-events?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:26:35 +07:00: INFO:     127.0.0.1:62445 - "GET /api/dashboard/alerts-list?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62474 - "GET /api/file-server/dashboard-summary HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62476 - "GET /api/cctv/stats HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62475 - "GET /api/webserver/stats/24 HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62477 - "GET /api/printers/status HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62477 - "GET /api/cctv/alerts?status=active&limit=100 HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62475 - "GET /api/printers/analytics/summary HTTP/1.1" 200 OK
2025-11-21 13:26:36 +07:00: INFO:     127.0.0.1:62475 - "GET /api/printers/alerts/active HTTP/1.1" 500 Internal Server Error
2025-11-21 13:26:38 +07:00: INFO:     127.0.0.1:62475 - "GET /alerts HTTP/1.1" 200 OK
2025-11-21 13:26:38 +07:00: INFO:     127.0.0.1:62475 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706398463 HTTP/1.1" 200 OK
2025-11-21 13:26:45 +07:00: INFO:     127.0.0.1:62475 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706405174 HTTP/1.1" 200 OK
2025-11-21 13:27:02 +07:00: INFO:     127.0.0.1:62475 - "GET /device-health HTTP/1.1" 200 OK
2025-11-21 13:27:02 +07:00: INFO:     127.0.0.1:62475 - "GET /devices/list?skip=0&limit=500 HTTP/1.1" 200 OK
2025-11-21 13:27:02 +07:00: INFO:     127.0.0.1:62475 - "GET /api/devices/scan/status HTTP/1.1" 200 OK
2025-11-21 13:27:05 +07:00: INFO:     127.0.0.1:62475 - "GET /threats HTTP/1.1" 200 OK
2025-11-21 13:27:05 +07:00: INFO:     127.0.0.1:62475 - "GET /api/threat-intel/api/threat-intelligence HTTP/1.1" 401 Unauthorized
2025-11-21 13:27:05 +07:00: INFO:     127.0.0.1:62477 - "GET /api/threat-intel/api/threat-intelligence/map?hours=24 HTTP/1.1" 401 Unauthorized
2025-11-21 13:27:07 +07:00: INFO:     127.0.0.1:62477 - "GET /dashboard HTTP/1.1" 200 OK
2025-11-21 13:27:07 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/recent-events?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62475 - "GET /api/dashboard/alerts-list?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62476 - "GET /api/file-server/dashboard-summary HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62442 - "GET /api/printers/status HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62445 - "GET /api/cctv/stats HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62474 - "GET /api/webserver/stats/24 HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62445 - "GET /api/cctv/alerts?status=active&limit=100 HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62474 - "GET /api/printers/analytics/summary HTTP/1.1" 200 OK
2025-11-21 13:27:08 +07:00: INFO:     127.0.0.1:62474 - "GET /api/printers/alerts/active HTTP/1.1" 500 Internal Server Error
2025-11-21 13:27:14 +07:00: INFO:     127.0.0.1:62474 - "GET /network HTTP/1.1" 200 OK
2025-11-21 13:27:14 +07:00: INFO:     127.0.0.1:62474 - "GET /api/devices/network/activities?limit=50 HTTP/1.1" 200 OK
2025-11-21 13:27:29 +07:00: INFO:     127.0.0.1:62474 - "GET /api/devices/network/activities?limit=50 HTTP/1.1" 200 OK
2025-11-21 13:27:44 +07:00: INFO:     127.0.0.1:62474 - "GET /api/devices/network/activities?limit=50 HTTP/1.1" 200 OK
2025-11-21 13:27:59 +07:00: INFO:     127.0.0.1:62474 - "GET /api/devices/network/activities?limit=50 HTTP/1.1" 200 OK
2025-11-21 13:28:12 +07:00: INFO:     127.0.0.1:62474 - "GET /alerts HTTP/1.1" 200 OK
2025-11-21 13:28:12 +07:00: INFO:     127.0.0.1:62474 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706492404 HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62474 - "GET /anomaly-detection HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62474 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62474 - "GET /api/dashboard/recent-events?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62445 - "GET /api/dashboard/alerts-list?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62476 - "GET /api/webserver/stats/24 HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62442 - "GET /api/file-server/dashboard-summary HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62475 - "GET /api/cctv/stats HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62477 - "GET /api/printers/status HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62475 - "GET /api/printers/analytics/summary HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62477 - "GET /api/cctv/alerts?status=active&limit=100 HTTP/1.1" 200 OK
2025-11-21 13:28:23 +07:00: INFO:     127.0.0.1:62477 - "GET /api/printers/alerts/active HTTP/1.1" 500 Internal Server Error
2025-11-21 13:28:36 +07:00: INFO:     127.0.0.1:62477 - "GET /alerts HTTP/1.1" 200 OK
2025-11-21 13:28:36 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706516968 HTTP/1.1" 200 OK
2025-11-21 13:29:07 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706547028 HTTP/1.1" 200 OK
2025-11-21 13:29:37 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706577027 HTTP/1.1" 200 OK
2025-11-21 13:29:47 +07:00: INFO:     127.0.0.1:62477 - "GET /device-health HTTP/1.1" 200 OK
2025-11-21 13:29:48 +07:00: INFO:     127.0.0.1:62477 - "GET /devices/list?skip=0&limit=500 HTTP/1.1" 200 OK
2025-11-21 13:29:48 +07:00: INFO:     127.0.0.1:62477 - "GET /api/devices/scan/status HTTP/1.1" 200 OK
2025-11-21 13:31:35 +07:00: INFO:     127.0.0.1:62477 - "GET /soc-dashboard HTTP/1.1" 200 OK
2025-11-21 13:31:35 +07:00: INFO:     127.0.0.1:62475 - "GET /api/threat-intel/api/threat-intelligence/map?hours=24 HTTP/1.1" 401 Unauthorized
2025-11-21 13:31:35 +07:00: INFO:     127.0.0.1:62477 - "GET /api/soc-dashboard/dashboard-widgets HTTP/1.1" 200 OK
2025-11-21 13:32:05 +07:00: INFO:     127.0.0.1:62477 - "GET /api/threat-intel/api/threat-intelligence/map?hours=24 HTTP/1.1" 401 Unauthorized
2025-11-21 13:32:05 +07:00: INFO:     127.0.0.1:62475 - "GET /api/soc-dashboard/dashboard-widgets HTTP/1.1" 200 OK
2025-11-21 13:32:36 +07:00: INFO:     127.0.0.1:62475 - "GET /api/threat-intel/api/threat-intelligence/map?hours=24 HTTP/1.1" 401 Unauthorized
2025-11-21 13:32:36 +07:00: INFO:     127.0.0.1:62477 - "GET /api/soc-dashboard/dashboard-widgets HTTP/1.1" 200 OK
2025-11-21 13:32:59 +07:00: INFO:     127.0.0.1:62477 - "GET /api/soc-dashboard/dashboard-widgets HTTP/1.1" 200 OK
2025-11-21 13:33:04 +07:00: INFO:     127.0.0.1:62477 - "GET /alerts HTTP/1.1" 200 OK
2025-11-21 13:33:04 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706784447 HTTP/1.1" 200 OK
2025-11-21 13:33:12 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706792813 HTTP/1.1" 200 OK
2025-11-21 13:33:19 +07:00: INFO:     127.0.0.1:62477 - "GET /users HTTP/1.1" 200 OK
2025-11-21 13:33:19 +07:00: INFO:     127.0.0.1:62477 - "GET /static/css/dashboard.css HTTP/1.1" 304 Not Modified
2025-11-21 13:33:19 +07:00: INFO:     127.0.0.1:62475 - "GET /static/js/common.js HTTP/1.1" 304 Not Modified
2025-11-21 13:33:19 +07:00: INFO:     127.0.0.1:62475 - "GET /api/users/?limit=100 HTTP/1.1" 401 Unauthorized
2025-11-21 13:35:26 +07:00: INFO:     127.0.0.1:62475 - "GET /api/dashboard/alerts-list?source=alert&limit=100&_=1763706926928 HTTP/1.1" 200 OK
2025-11-21 13:35:31 +07:00: INFO:     127.0.0.1:62475 - "GET /reports HTTP/1.1" 200 OK
2025-11-21 13:35:31 +07:00: INFO:     127.0.0.1:62475 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
2025-11-21 13:35:31 +07:00: INFO:     127.0.0.1:62475 - "GET /api/dashboard/recent-events?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:35:31 +07:00: INFO:     127.0.0.1:62477 - "GET /api/dashboard/alerts-list?limit=5 HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64294 - "GET /api/file-server/dashboard-summary HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64295 - "GET /api/webserver/stats/24 HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64297 - "GET /api/cctv/stats HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64298 - "GET /api/printers/status HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64297 - "GET /api/printers/analytics/summary HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64298 - "GET /api/cctv/alerts?status=active&limit=100 HTTP/1.1" 200 OK
2025-11-21 13:35:32 +07:00: INFO:     127.0.0.1:64298 - "GET /api/printers/alerts/active HTTP/1.1" 500 Internal Server Error
2025-11-21 13:39:35 +07:00: INFO:     127.0.0.1:64298 - "GET /soar HTTP/1.1" 200 OK
2025-11-21 13:39:36 +07:00: INFO:     127.0.0.1:64298 - "GET /api/soar/playbooks HTTP/1.1" 401 Unauthorized
2025-11-21 13:39:36 +07:00: INFO:     127.0.0.1:64297 - "GET /api/soar/executions?limit=10 HTTP/1.1" 401 Unauthorized
2025-11-21 13:39:36 +07:00: INFO:     127.0.0.1:64295 - "GET /api/soar/automation-rules HTTP/1.1" 401 Unauthorized
2025-11-21 13:40:07 +07:00: INFO:     127.0.0.1:64295 - "GET /api/soar/playbooks HTTP/1.1" 401 Unauthorized
2025-11-21 13:40:07 +07:00: INFO:     127.0.0.1:64297 - "GET /api/soar/executions?limit=10 HTTP/1.1" 401 Unauthorized
2025-11-21 13:40:07 +07:00: INFO:     127.0.0.1:64298 - "GET /api/soar/automation-rules HTTP/1.1" 401 Unauthorized
2025-11-21 13:40:28 +07:00: INFO:     127.0.0.1:64298 - "GET /dashboard HTTP/1.1" 200 OK
2025-11-21 13:40:28 +07:00: INFO:     127.0.0.1:64298 - "GET /api/dashboard/stats HTTP/1.1" 200 OK
